Mã,Tên,Tên Ti?ng Anh,C?p,Ngh? ??nh,Ghi chú
01,Thành ph? Hà N?i,,Thành ph? Trung ??ng,," Gi? nguyên, không s?p x?p"
04,T?nh Cao B?ng,,T?nh,,"Gi? nguyên, không s?p x?p"
08,T?nh Tuyên Quang,,T?nh,202/2025/QH15 - 12/06/2025                    ,"S?p x?p toàn b? di?n tích t? nhiên, quy mô dân s? c?a t?nh Hà Giang và t?nh Tuyên Quang thành t?nh m?i có tên g?i là t?nh Tuyên Quang"
11,T?nh ?i?n Biên,,T?nh,202/2025/QH15 - 12/06/2025                    ,"Gi? nguyên, không s?p x?p"
12,T?nh Lai Châu,,T?nh,202/2025/QH15 - 12/06/2025                    ,"Gi? nguyên, không s?p x?p"
14,T?nh S?n La,,T?nh,202/2025/QH15 - 12/06/2025                    ,"Gi? nguyên, không s?p x?p"
15,T?nh Lào Cai,,T?nh,,"S?p x?p toàn b? di?n tích t? nhiên, quy mô dân s? c?a t?nh Yên Bái và t?nh Lào Cai thành t?nh m?i có tên g?i là t?nh Lào Cai"
19,T?nh Thái Nguyên,,T?nh,202/2025/QH15 - 12/06/2025                    ,"S?p x?p toàn b? di?n tích t? nhiên, quy mô dân s? c?a t?nh B?c K?n và t?nh Thái Nguyên thành t?nh m?i có tên g?i là t?nh Thái Nguyên"
20,T?nh L?ng S?n,,T?nh,202/2025/QH15 - 12/06/2025                    ,"Gi? nguyên, không s?p x?p"
22,T?nh Qu?ng Ninh,,T?nh,202/2025/QH15 - 12/06/2025                    ,"Gi? nguyên, không s?p x?p"
24,T?nh B?c Ninh,,T?nh,,"S?p x?p toàn b? di?n tích t? nhiên, quy mô dân s? c?a t?nh B?c Giang và t?nh B?c Ninh thành t?nh m?i có tên g?i là B?c Ninh"
25,T?nh Phú Th?,,T?nh,202/2025/QH15 - 12/06/2025                    ,"S?p x?p toàn b? di?n tích t? nhiên, quy mô dân s? c?a t?nh V?nh Phúc, t?nh Hòa Bình và t?nh Phú Th? thành t?nh m?i có tên g?i là t?nh Phú Th?"
31,Thành ph? H?i Phòng,,Thành ph? Trung ??ng,202/2025/QH15 - 12/06/2025                    ,"S?p x?p toàn b? di?n tích t? nhiên, quy mô dân s? c?a thành ph? H?i Phòng và t?nh H?i D??ng thành thành ph? m?i có tên g?i là thành ph? H?i Phòng"
33,T?nh H?ng Yên,,T?nh,202/2025/QH15 - 12/06/2025                    ,"S?p x?p toàn b? di?n tích t? nhiên, quy mô dân s? c?a t?nh Thái Bình và t?nh H?ng Yên thành t?nh m?i có tên g?i là t?nh H?ng Yên"
37,T?nh Ninh Bình,,T?nh,202/2025/QH15 - 12/06/2025                    ,"S?p x?p toàn b? di?n tích t? nhiên, quy mô dân s? c?a t?nh Hà Nam, t?nh Nam ??nh và t?nh Ninh Bình thành t?nh m?i có tên g?i là t?nh Ninh Bình"
38,T?nh Thanh Hóa,,T?nh,202/2025/QH15 - 12/06/2025                    ,"Gi? nguyên, không s?p x?p"
40,T?nh Ngh? An,,T?nh,202/2025/QH15 - 12/06/2025                    ,"Gi? nguyên, không s?p x?p"
42,T?nh Hà T?nh,,T?nh,202/2025/QH15 - 12/06/2025                    ,"Gi? nguyên, không s?p x?p"
44,T?nh Qu?ng Tr?,,T?nh,,"S?p x?p toàn b? di?n tích t? nhiên, quy mô dân s? c?a t?nh Qu?ng Bình và t?nh Qu?ng Tr? thành t?nh m?i có tên g?i là t?nh Qu?ng Tr?"
