M?,Tàn,Tàn Ti?ng Anh,C?p,Ngh? ??nh,Ghi ch£,M? TP,T?nh / ThÖnh Ph?
00004,Ph??ng Ba ?çnh,,Ph??ng,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i tàn t? ph??ng Tr£c B?ch thÖnh ph??ng Ba ?çnh, h?p nh?t ph??ng Qu†n Th†nh, ph??ng Tr£c B?ch, m?t ph?n  ph??ng C?a Nam, 1 ph?n ph??ng ?i?n Biàn, 1 ph?n ph??ng ??i C?n, 1 ph?n ph??ng Kim M?, 1 ph?n ph??ng Ng?c HÖ, 1 ph?n ph??ng Th?y Khuà, 1 ph?n ph??ng C. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00008,Ph??ng Ng?c HÖ,Lieu Giai Commune,Ph??ng,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i tàn t? ph??ng Li?u Giai thÖnh ph??ng Ng?c HÖ, h?p nh?t ph??ng V?nh Ph£c, ph??ng Li?u Giai, 1 ph?n ph??ng C?ng V?, 1 ph?n ph??ng Kim M?, 1 ph?n ph??ng Ng?c Kh†nh, 1 ph?n ph??ng Ngh?a ?ì, 1 ph?n ph??ng ??i C?n, 1 ph?n ph??ng Ng?c HÖ. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00025,Ph??ng Gi?ng V?,,Ph??ng,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i tàn t? ph??ng Ng?c Kh†nh thÖnh ph??ng Gi?ng V?, h?p nh?t ph??ng Gi?ng V?, m?t ph?n ph??ng C†t Linh, 1 ph?n ph??ng L†ng H?, 1 ph?n ph??ng Ng?c Kh†nh, 1 ph?n ph??ng ThÖnh Cìng, 1 ph?n ph??ng C?ng V?, 1 ph?n ph??ng Kim M?. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00070,"Ph??ng 
HoÖn Ki?m",,Ph??ng,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i tàn t? ph??ng HÖng Tr?ng thÖnh ph??ng HoÖn Ki?m, h?p nh?t ph??ng HÖng B?c, ph??ng HÖng B?, ph??ng HÖng Bu?m, ph??ng HÖng ?Öo, ph??ng HÖng Gai, ph??ng HÖng M?, ph??ng L? Th†i T?, 1 ph?n ph??ng C?a ?ìng, 1 ph?n ph??ng C?a Nam, 1 ph?n ph??ng ?i?n Biàn, 1. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00082,Ph??ng C?a Nam,,Ph??ng,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i tàn t? ph??ng Tr?n H?ng ??o thÖnh ph??ng C?a Nam, h?p nh?t ph??ng HÖng BÖi, ph??ng Phan Chu Trinh, ph??ng Tr?n H?ng ??o, m?t ph?n ph??ng C?a Nam, 1 ph?n ph??ng Nguy?n Du, 1 ph?n ph??ng Ph?m ?çnh H?, 1 ph?n ph??ng HÖng Bìng, 1 ph?n ph??ng HÖng Tr?ng, 1. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00091,Ph??ng Ph£ Th??ng,,Ph??ng,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t 1 ph?n ph??ng ?ìng Ng?c, 1 ph?n ph??ng XuÉn La, 1 ph?n ph??ng XuÉn ??nh, 1 ph?n ph??ng XuÉn T?o, 1 ph?n ph??ng Ph£ Th??ng. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00097,Ph??ng H?ng HÖ,,Ph??ng,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i tàn t? ph??ng T? Liàn thÖnh ph??ng H?ng HÖ, h?p nh?t ph??ng Ch??ng D??ng, ph??ng Ph£c TÉn, ph??ng Ph£c X†, 1 ph?n ph??ng B? ??, 1 ph?n ph??ng Nh?t TÉn, 1 ph?n ph??ng Ng?c Thu?, 1 ph?n ph??ng Ph£ Th??ng, 1 ph?n ph??ng Qu?ng An, 1 ph?n ph??ng Thanh L??n. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00103,Ph??ng TÉy H?,,Ph??ng,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i tàn t? ph??ng XuÉn La thÖnh ph??ng TÉy H?, h?p nh?t ph??ng B??i, 1 ph?n ph??ng Ph£ Th??ng, 1 ph?n ph??ng XuÉn La, 1 ph?n ph??ng Nh?t TÉn, 1 ph?n ph??ng Qu?ng An, 1 ph?n ph??ng T? Liàn, 1 ph?n ph??ng Yàn Ph?, 1 ph?n ph??ng Ngh?a ?ì, 1 ph?n ph??ng Th?y . B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00118,Ph??ng B? ??,,Ph??ng,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i tàn t? ph??ng Ng?cTh?y thÖnh ph??ng B? ??, h?p nh?t ph??ng Ng?c LÉm, 1 ph?n ph??ng ??c Giang, 1 ph?n ph??ng Gia Th?y, 1 ph?n ph??ng Th??ng Thanh,1 ph?n ph??ng Ph£c ??ng, 1 ph?n ph??ng Ng?c Th?y, 1 ph?n ph??ng B? ??, 1 ph?n ph??ng Long Biàn. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00127,Ph??ng Vi?t H?ng,,Ph??ng,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t 1 ph?n ph??ng Giang Biàn, 1 ph?n ph??ng Ph£c ??ng, 1 ph?n ph??ng Ph£c L?i, 1 ph?n ph??ng Vi?t H?ng, 1 ph?n ph??ng Gia Th?y, 1 ph?n ph??ng ph??ng ??c Giang, 1 ph?n ph??ng Th??ng Thanh. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00136,Ph??ng Ph£c L?i,,Ph??ng,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t 1 ph?n ph??ng Th?ch BÖn, 1 ph?n x? C? Bi, 1 ph?n ph??ng Giang Biàn, 1 ph?n ph??ng Ph£c L?i, 1 ph?n ph??ng Vi?t H?ng, 1 ph?n ph??ng Ph£c ??ng. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00145,Ph??ng Long Biàn,,Ph??ng,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t 1 ph?n ph??ng C? Kh?i, 1 ph?n ph??ng Ph£c ??ng, 1 ph?n ph??ng Long Biàn, 1 ph?n ph??ng Th?ch BÖn, 1 ph?n x? B†t TrÖng,1 ph?n ph??ng B? ??, 1 ph?n ph??ng Gia Th?y. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00160,Ph??ng Ngh?a ?ì,,Ph??ng,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i tàn t? ph??ng Ngh?a TÉn thÖnh ph??ng Ngh?a ?ì, h?p nh?t ph??ng Ngh?a TÉn, 1 ph?n ph??ng C? Nhu? 1, 1 ph?n ph??ng Mai D?ch, 1 ph?n ph??ng Ngh?a ?ì, 1 ph?n ph??ng XuÉn La, 1 ph?n ph??ng XuÉn T?o, 1 ph?n ph??ng ph??ng D?ch V?ng, 1 ph?n ph??ng D?ch V?ng H. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00166,Ph??ng C?u Gi?y,,Ph??ng,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i tàn t? ph??ng D?ch V?ng thÖnh ph??ng C?u Gi?y, h?p nh?t 1 ph?n ph??ng D?ch V?ng, 1 ph?n ph??ng D?ch V?ng H?u, 1 ph?n ph??ng Quan Hoa, 1 ph?n ph??ng M? ?çnh 1, 1 ph?n ph??ng M? ?çnh 2, 1 ph?n ph??ng Yàn Hïa . B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00175,Ph??ng Yàn Hïa,,Ph??ng,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i tàn t? ph??ng Trung Hïa thÖnh ph??ng Yàn Hïa, h?p nh?t 1 ph?n ph??ng M? Trç, 1 ph?n ph??ng NhÉn Ch°nh, 1 ph?n ph??ng Trung Hïa, 1 ph?n ph??ng Yàn Hïa . B? c?p huy?n",01,ThÖnh ph? HÖ N?i
