"district_id","province_id","district_no","district_name","type_name","location","is_default","created_user","created_date","updated_user","updated_date","is_deleted","district_name_en","sfdc_id","is_active","type_name_en"
701,1,"21",Bắc Từ Liêm,Quận,"21 02 39N, 105 45 32E",true,220,2019-10-02 11:59:23.240,3415,2023-10-06 18:06:11.980,false,bactuliem,a14900000017i4jAAA,true,quan
1,1,"1",Ba Đình,Quận,"21 02 08N, 105 49 38E",true,220,2018-11-12 14:09:13.310,3415,2023-10-06 18:06:11.980,false,badinh,a14900000017htwAAA,true,quan
186,1,"271",Ba Vì,Huyện,"21 09 40N, 105 22 43E",true,220,2018-11-12 14:09:13.310,3415,2023-10-06 18:06:11.980,false,bavi,a14900000017huCAAQ,true,huyen
5,1,"5",Cầu Giấy,Quận,"21 01 52N, 105 47 20E",true,220,2018-11-12 14:09:13.310,3415,2023-10-06 18:06:11.980,false,caugiay,a14900000017htxAAA,true,quan
192,1,"277",Chương Mỹ,Huyện,"20 52 46N, 105 39 01E",true,220,2018-11-12 14:09:13.310,3415,2023-10-06 18:06:11.980,false,chuongmy,a14900000017huDAAQ,true,huyen
188,1,"273",Đan Phượng,Huyện,"21 07 13N, 105 40 49E",true,220,2018-11-12 14:09:13.310,3415,2023-10-06 18:06:11.980,false,danphuong,a14900000017huEAAQ,true,huyen
11,1,"17",Đông Anh,Huyện,"21 08 16N, 105 49 38E",true,220,2018-11-12 14:09:13.310,3415,2023-10-06 18:06:11.980,false,donganh,a14900000017hu5AAA,true,huyen
6,1,"6",Đống Đa,Quận,"21 00 56N, 105 49 06E",true,220,2018-11-12 14:09:13.310,3415,2023-10-06 18:06:11.980,false,dongda,a14900000017htyAAA,true,quan
12,1,"18",Gia Lâm,Huyện,"21 01 28N, 105 56 54E",true,220,2018-11-12 14:09:13.310,3415,2023-10-06 18:06:11.980,false,gialam,a14900000017hu6AAA,true,huyen
184,1,"268",Hà Đông,Quận,"20 57 25N, 105 45 21E",true,220,2018-11-12 14:09:13.310,3415,2023-10-06 18:06:11.980,false,hadong,a14900000017huAAAQ,true,quan
7,1,"7",Hai Bà Trưng,Quận,"21 00 27N, 105 51 35E",true,220,2018-11-12 14:09:13.310,3415,2023-10-06 18:06:11.980,false,haibatrung,a14900000017htzAAA,true,quan
189,1,"274",Hoài Đức,Huyện,"21 01 25N, 105 42 03E",true,220,2018-11-12 14:09:13.310,3415,2023-10-06 18:06:11.980,false,hoaiduc,a14900000017huFAAQ,true,huyen
8,1,"8",Hoàng Mai,Quận,"20 58 33N, 105 51 22E",true,220,2018-11-12 14:09:13.310,3415,2023-10-06 18:06:11.980,false,hoangmai,a14900000017hu1AAA,true,quan
2,1,"2",Hoàn Kiếm,Quận,"21 01 53N, 105 51 09E",true,220,2018-11-12 14:09:13.310,3415,2023-10-06 18:06:11.980,false,hoankiem,a14900000017hu0AAA,true,quan
4,1,"4",Long Biên,Quận,"21 02 21N, 105 53 07E",true,220,2018-11-12 14:09:13.310,3415,2023-10-06 18:06:11.980,false,longbien,a14900000017hu2AAA,true,quan
172,1,"250",Mê Linh,Huyện,"21 10 53N, 105 42 05E",true,220,2018-11-12 14:09:13.310,3415,2023-10-06 18:06:11.980,false,melinh,a14900000017huGAAQ,true,huyen
197,1,"282",Mỹ Đức,Huyện,"20 41 53N, 105 43 31E",true,220,2018-11-12 14:09:13.310,3415,2023-10-06 18:06:11.980,false,myduc,a14900000017huHAAQ,true,huyen
13,1,"19",Nam Từ Liêm,Quận,"21 02 39N, 105 45 32E",true,220,2018-11-12 14:09:13.310,3415,2023-10-06 18:06:11.980,false,namtuliem,a14900000017i4iAAA,true,quan
187,1,"272",Phúc Thọ,Huyện,"21 06 32N, 105 34 52E",true,220,2018-11-12 14:09:13.310,3415,2023-10-06 18:06:11.980,false,phuctho,a14900000017huJAAQ,true,huyen
195,1,"280",Phú Xuyên,Huyện,"20 43 37N, 105 53 43E",true,220,2018-11-12 14:09:13.310,3415,2023-10-06 18:06:11.980,false,phuxuyen,a14900000017huIAAQ,true,huyen
190,1,"275",Quốc Oai,Huyện,"20 58 45N, 105 36 43E",true,220,2018-11-12 14:09:13.310,3415,2023-10-06 18:06:11.980,false,quocoai,a14900000017huKAAQ,true,huyen
10,1,"16",Sóc Sơn,Huyện,"21 16 55N, 105 49 46E",true,220,2018-11-12 14:09:13.310,3415,2023-10-06 18:06:11.980,false,socson,a14900000017hu7AAA,true,huyen
185,1,"269",Sơn Tây,Thị Xã,"21 05 51N, 105 28 27E",true,220,2018-11-12 14:09:13.310,3415,2023-10-06 18:06:11.980,false,sontay,a14900000017huBAAQ,true,thixa
3,1,"3",Tây Hồ,Quận,"21 04 10N, 105 49 07E",true,220,2018-11-12 14:09:13.310,3415,2023-10-06 18:06:11.980,false,tayho,a14900000017hu3AAA,true,quan
191,1,"276",Thạch Thất,Huyện,"21 02 17N, 105 33 05E",true,220,2018-11-12 14:09:13.310,3415,2023-10-06 18:06:11.980,false,thachthat,a14900000017huLAAQ,true,huyen
193,1,"278",Thanh Oai,Huyện,"20 51 44N, 105 46 18E",true,220,2018-11-12 14:09:13.310,3415,2023-10-06 18:06:11.980,false,thanhoai,a14900000017huMAAQ,true,huyen
14,1,"20",Thanh Trì,Huyện,"20 56 32N, 105 50 55E",true,220,2018-11-12 14:09:13.310,3415,2023-10-06 18:06:11.980,false,thanhtri,a14900000017i26AAA,true,huyen
9,1,"9",Thanh Xuân,Quận,"20 59 44N, 105 48 56E",true,220,2018-11-12 14:09:13.310,3415,2023-10-06 18:06:11.980,false,thanhxuan,a14900000017hu4AAA,true,quan
194,1,"279",Thường Tín,Huyện,"20 49 59N, 105 22 19E",true,220,2018-11-12 14:09:13.310,3415,2023-10-06 18:06:11.980,false,thuongtin,a14900000017huNAAQ,true,huyen
196,1,"281",Ứng Hòa,Huyện,"20 42 41N, 105 47 58E",true,220,2018-11-12 14:09:13.310,3415,2023-10-06 18:06:11.980,false,unghoa,a14900000017huOAAQ,true,huyen
21,2,"31",Bắc Mê,Huyện,"22 45 48N, 105 16 26E",true,220,2018-11-12 14:09:13.310,3415,2023-10-06 18:06:11.980,false,bacme,a14900000017hxpAAA,true,huyen
24,2,"34",Bắc Quang,Huyện,"22 23 42N, 104 55 06E",true,220,2018-11-12 14:09:13.310,3415,2023-10-06 18:06:11.980,false,bacquang,a14900000017hxqAAA,true,huyen
16,2,"26",Đồng Văn,Huyện,"23 14 34N, 105 15 48E",true,220,2018-11-12 14:09:13.310,3415,2023-10-06 18:06:11.980,false,dongvan,a14900000017hxrAAA,true,huyen
15,2,"24",Hà Giang,Thành Phố,"22 46 23N, 105 02 39E",true,220,2018-11-12 14:09:13.310,3415,2023-10-06 18:06:11.980,false,hagiang,a14900000017hxsAAA,true,thanhpho
22,2,"32",Hoàng Su Phì,Huyện,"22 41 37N, 104 40 06E",true,220,2018-11-12 14:09:13.310,3415,2023-10-06 18:06:11.980,false,hoangsuphi,a14900000017hxtAAA,true,huyen
17,2,"27",Mèo Vạc,Huyện,"23 09 10N, 105 26 38E",true,220,2018-11-12 14:09:13.310,3415,2023-10-06 18:06:11.980,false,meovac,a14900000017hxuAAA,true,huyen
19,2,"29",Quản Bạ,Huyện,"23 04 03N, 104 58 05E",true,220,2018-11-12 14:09:13.310,3415,2023-10-06 18:06:11.980,false,quanba,a14900000017hxvAAA,true,huyen
25,2,"35",Quang Bình,Huyện,"22 23 07N, 104 37 11E",true,220,2018-11-12 14:09:13.310,3415,2023-10-06 18:06:11.980,false,quangbinh,a14900000017hxwAAA,true,huyen
20,2,"30",Vị Xuyên,Huyện,"22 45 50N, 104 56 26E",true,220,2018-11-12 14:09:13.310,3415,2023-10-06 18:06:11.980,false,vixuyen,a14900000017hxxAAA,true,huyen
23,2,"33",Xín Mần,Huyện,"22 38 05N, 104 28 35E",true,220,2018-11-12 14:09:13.310,3415,2023-10-06 18:06:11.980,false,xinman,a14900000017hxyAAA,true,huyen
18,2,"28",Yên Minh,Huyện,"23 04 20N, 105 10 13E",true,220,2018-11-12 14:09:13.310,3415,2023-10-06 18:06:11.980,false,yenminh,a14900000017hxzAAA,true,huyen
28,3,"43",Bảo Lạc,Huyện,"22 52 31N, 105 42 41E",true,220,2018-11-12 14:09:13.310,3415,2023-10-06 18:06:11.980,false,baolac,a14900000017hyZAAQ,true,huyen
27,3,"42",Bảo Lâm,Huyện,"22 52 37N, 105 27 28E",true,220,2018-11-12 14:09:13.310,3415,2023-10-06 18:06:11.980,false,baolam,a14900000017hyaAAA,true,huyen
